YearStart,LocationAbbr,StratificationCategory1,Stratification1,Data_Value
2016,CA,Age (years),18 - 24,14.5
2016,CA,Race/Ethnicity,2 or more races,29.4
2016,CA,Age (years),25 - 34,23.2
2016,CA,Age (years),35 - 44,27.8
2016,CA,Age (years),45 - 54,30.2
2016,CA,Age (years),55 - 64,28.9
2016,CA,Age (years),65 or older,23.5
2016,CA,Race/Ethnicity,American Indian/Alaska Native,38.2
2016,CA,Race/Ethnicity,Asian,9.6
2016,CA,Education,College graduate,15.1
2016,CA,Income,Data not reported,23.4
2016,CA,Sex,Female,25.2
2016,CA,Education,High school graduate,26.9
2016,CA,Race/Ethnicity,Hispanic,33.3
2016,CA,Income,"Less than $15,000",31.2
2016,CA,Education,Less than high school,36.0
2016,CA,Sex,Male,24.9
2016,CA,Race/Ethnicity,Non-Hispanic Black,29.6
2016,CA,Race/Ethnicity,Non-Hispanic White,23.3
2016,CA,Race/Ethnicity,Other,28.4
2016,CA,Education,Some college or technical school,26.7
2016,CA,Total,Total,25.0
2016,CO,Income,"$15,000 - $24,999",26.5
2016,CO,Income,"$25,000 - $34,999",23.7
2016,CO,Income,"$35,000 - $49,999",21.2
2016,CO,Income,"$50,000 - $74,999",24.4
2016,CO,Income,"$75,000 or greater",20.6
2016,CO,Age (years),18 - 24,12.8
2016,CO,Race/Ethnicity,2 or more races,26.2
2016,CO,Age (years),25 - 34,19.1
2016,CO,Age (years),35 - 44,25.0
2016,CO,Age (years),45 - 54,26.9
2016,CO,Age (years),55 - 64,26.9
2016,CO,Age (years),65 or older,21.0
2016,CO,Race/Ethnicity,American Indian/Alaska Native,23.6
2016,CO,Race/Ethnicity,Asian,9.4
2016,CO,Education,College graduate,16.9
2016,CO,Income,Data not reported,19.4
2016,CO,Sex,Female,22.2
2016,CO,Education,High school graduate,25.9
2016,CO,Race/Ethnicity,Hispanic,26.9
2016,CO,Income,"Less than $15,000",24.7
2016,CO,Education,Less than high school,27.6
2016,CO,Sex,Male,22.4
2016,CO,Race/Ethnicity,Non-Hispanic Black,33.5
2016,CO,Race/Ethnicity,Non-Hispanic White,20.8
2016,CO,Race/Ethnicity,Other,35.0
2016,CO,Education,Some college or technical school,23.9
2016,CO,Total,Total,22.3
2016,CT,Income,"$15,000 - $24,999",31.4
2016,CT,Income,"$25,000 - $34,999",26.7
2016,CT,Income,"$35,000 - $49,999",27.9
2016,CT,Income,"$50,000 - $74,999",31.4
2016,CT,Income,"$75,000 or greater",21.5
2016,CT,Age (years),18 - 24,13.4
2016,CT,Race/Ethnicity,2 or more races,38.8
2016,CT,Age (years),25 - 34,24.2
2016,CT,Age (years),35 - 44,29.7
2016,CT,Age (years),45 - 54,30.2
2016,CT,Age (years),55 - 64,30.4
2016,CT,Age (years),65 or older,24.9
2016,CT,Race/Ethnicity,Asian,5.8
2016,CT,Education,College graduate,19.4
2016,CT,Income,Data not reported,23.4
2016,CT,Sex,Female,25.0
2016,CT,Education,High school graduate,29.8
2016,CT,Race/Ethnicity,Hispanic,33.0
2016,CT,Income,"Less than $15,000",36.3
2016,CT,Education,Less than high school,34.0
2016,CT,Sex,Male,26.9
2016,CT,Race/Ethnicity,Non-Hispanic Black,39.1
2016,CT,Race/Ethnicity,Non-Hispanic White,24.1
2016,CT,Race/Ethnicity,Other,22.8
2016,CT,Education,Some college or technical school,27.4
2016,CT,Total,Total,26.0
2016,DE,Income,"$15,000 - $24,999",34.9
2016,DE,Income,"$25,000 - $34,999",29.9
2016,DE,Income,"$35,000 - $49,999",34.7
2016,DE,Income,"$50,000 - $74,999",28.0
2016,DE,Income,"$75,000 or greater",28.4
2016,DE,Age (years),18 - 24,19.3
2016,DE,Race/Ethnicity,2 or more races,29.3
2016,DE,Age (years),25 - 34,26.5
2016,DE,Age (years),35 - 44,35.6
2016,DE,Age (years),45 - 54,35.5
2016,DE,Age (years),55 - 64,34.1
2016,DE,Age (years),65 or older,30.4
2016,DE,Race/Ethnicity,Asian,9.0
2016,DE,Education,College graduate,24.2
2016,DE,Income,Data not reported,26.7
2016,DE,Sex,Female,30.7
2016,DE,Education,High school graduate,34.0
2016,DE,Race/Ethnicity,Hispanic,27.2
2016,DE,Income,"Less than $15,000",39.6
2016,DE,Education,Less than high school,41.3
2016,DE,Sex,Male,30.7
2016,DE,Race/Ethnicity,Non-Hispanic Black,39.0
2016,DE,Race/Ethnicity,Non-Hispanic White,29.3
2016,DE,Education,Some college or technical school,28.9
2016,DE,Total,Total,30.7
2016,DC,Income,"$15,000 - $24,999",36.7
2016,DC,Income,"$25,000 - $34,999",34.4
2016,DC,Income,"$35,000 - $49,999",28.4
2016,DC,Income,"$50,000 - $74,999",18.7
2016,DC,Income,"$75,000 or greater",14.8
2016,DC,Age (years),18 - 24,11.6
2016,DC,Age (years),25 - 34,17.3
2016,DC,Age (years),35 - 44,27.0
2016,DC,Age (years),45 - 54,27.0
2016,DC,Age (years),55 - 64,31.4
2016,DC,Age (years),65 or older,24.0
2016,DC,Race/Ethnicity,Asian,3.3
2016,DC,Education,College graduate,13.4
2016,DC,Income,Data not reported,22.4
2016,DC,Sex,Female,27.0
2016,DC,Education,High school graduate,30.4
2016,DC,Race/Ethnicity,Hispanic,20.8
2016,DC,Income,"Less than $15,000",34.9
2016,DC,Education,Less than high school,40.7
2016,DC,Sex,Male,18.0
2016,DC,Race/Ethnicity,Non-Hispanic Black,37.4
2016,DC,Race/Ethnicity,Non-Hispanic White,9.4
2016,DC,Race/Ethnicity,Other,32.4
2016,DC,Education,Some college or technical school,31.5
2016,DC,Total,Total,22.6
2016,FL,Income,"$15,000 - $24,999",31.3
2016,FL,Income,"$25,000 - $34,999",27.5
2016,FL,Income,"$35,000 - $49,999",27.7
2016,FL,Income,"$50,000 - $74,999",27.7
2016,FL,Income,"$75,000 or greater",25.4
2016,FL,Age (years),18 - 24,14.9
2016,FL,Race/Ethnicity,2 or more races,27.6
2016,FL,Age (years),25 - 34,27.2
2016,FL,Age (years),35 - 44,29.4
2016,FL,Age (years),45 - 54,31.7
2016,FL,Age (years),55 - 64,32.6
2016,FL,Age (years),65 or older,25.8
2016,FL,Race/Ethnicity,American Indian/Alaska Native,34.1
2016,FL,Race/Ethnicity,Asian,14.3
2016,FL,Education,College graduate,21.9
2016,FL,Income,Data not reported,23.8
2016,FL,Sex,Female,26.6
2016,FL,Education,High school graduate,29.7
2016,FL,Race/Ethnicity,Hispanic,27.2
2016,FL,Income,"Less than $15,000",32.2
2016,FL,Education,Less than high school,32.4
2016,FL,Sex,Male,28.3
2016,FL,Race/Ethnicity,Non-Hispanic Black,34.0
2016,FL,Race/Ethnicity,Non-Hispanic White,26.7
2016,FL,Race/Ethnicity,Other,27.9
2016,FL,Education,Some college or technical school,27.8
2016,FL,Total,Total,27.4
2016,GA,Income,"$15,000 - $24,999",35.4
2016,GA,Income,"$25,000 - $34,999",32.2
2016,GA,Income,"$35,000 - $49,999",41.1
2016,GA,Income,"$50,000 - $74,999",31.2
2016,GA,Income,"$75,000 or greater",27.0
2016,GA,Age (years),18 - 24,17.3
2016,GA,Race/Ethnicity,2 or more races,22.6
2016,GA,Age (years),25 - 34,27.6
2016,GA,Age (years),35 - 44,35.8
2016,GA,Age (years),45 - 54,36.7
2016,GA,Age (years),55 - 64,37.6
2016,GA,Age (years),65 or older,31.0
2016,GA,Race/Ethnicity,Asian,3.0
2016,GA,Education,College graduate,23.5
2016,GA,Income,Data not reported,23.6
2016,GA,Sex,Female,33.1
2016,GA,Education,High school graduate,32.3
2016,GA,Race/Ethnicity,Hispanic,32.4
2016,GA,Income,"Less than $15,000",37.8
2016,GA,Education,Less than high school,38.2
2016,GA,Sex,Male,29.8
2016,GA,Race/Ethnicity,Non-Hispanic Black,38.2
2016,GA,Race/Ethnicity,Non-Hispanic White,29.8
2016,GA,Education,Some college or technical school,34.1
2016,GA,Total,Total,31.4
2016,HI,Income,"$15,000 - $24,999",23.3
2016,HI,Income,"$25,000 - $34,999",23.8
2016,HI,Income,"$35,000 - $49,999",25.7
2016,HI,Income,"$50,000 - $74,999",26.1
2016,HI,Income,"$75,000 or greater",22.3
2016,HI,Age (years),18 - 24,13.9
2016,HI,Race/Ethnicity,2 or more races,36.6
2016,HI,Age (years),25 - 34,26.3
2016,HI,Age (years),35 - 44,29.6
2016,HI,Age (years),45 - 54,30.3
2016,HI,Age (years),55 - 64,26.4
2016,HI,Age (years),65 or older,16.0
2016,HI,Race/Ethnicity,Asian,16.5
2016,HI,Education,College graduate,17.8
2016,HI,Income,Data not reported,16.1
2016,HI,Sex,Female,21.4
2016,HI,Race/Ethnicity,Hawaiian/Pacific Islander,50.9
2016,HI,Education,High school graduate,27.5
2016,HI,Race/Ethnicity,Hispanic,31.8
2016,HI,Income,"Less than $15,000",33.7
2016,HI,Education,Less than high school,26.6
2016,HI,Sex,Male,26.1
2016,HI,Race/Ethnicity,Non-Hispanic Black,28.4
2016,HI,Race/Ethnicity,Non-Hispanic White,18.0
2016,HI,Education,Some college or technical school,24.9
2016,HI,Total,Total,23.8
2016,ID,Income,"$15,000 - $24,999",32.3
2016,ID,Income,"$25,000 - $34,999",25.4
2016,ID,Income,"$35,000 - $49,999",23.8
2016,ID,Income,"$50,000 - $74,999",33.3
2016,ID,Income,"$75,000 or greater",25.7
2016,ID,Age (years),18 - 24,21.5
2016,ID,Race/Ethnicity,2 or more races,49.3
2016,ID,Age (years),25 - 34,26.0
2016,ID,Age (years),35 - 44,25.8
2016,ID,Age (years),45 - 54,35.1
2016,ID,Age (years),55 - 64,30.7
2016,ID,Age (years),65 or older,25.2
2016,ID,Race/Ethnicity,American Indian/Alaska Native,37.8
2016,ID,Education,College graduate,22.6
2016,ID,Income,Data not reported,20.6
2016,ID,Sex,Female,26.6
2016,ID,Education,High school graduate,28.7
2016,ID,Race/Ethnicity,Hispanic,30.3
2016,ID,Income,"Less than $15,000",28.8
2016,ID,Education,Less than high school,32.0
2016,ID,Sex,Male,28.1
2016,ID,Race/Ethnicity,Non-Hispanic White,27.1
2016,ID,Education,Some college or technical school,28.1
2016,ID,Total,Total,27.4
2016,IL,Income,"$15,000 - $24,999",34.7
2016,IL,Income,"$25,000 - $34,999",30.2
2016,IL,Income,"$35,000 - $49,999",31.0
2016,IL,Income,"$50,000 - $74,999",34.4
2016,IL,Income,"$75,000 or greater",28.7
2016,IL,Age (years),18 - 24,17.3
2016,IL,Race/Ethnicity,2 or more races,19.9
2016,IL,Age (years),25 - 34,27.6
2016,IL,Age (years),35 - 44,35.4
2016,IL,Age (years),45 - 54,38.2
2016,IL,Age (years),55 - 64,36.9
2016,IL,Age (years),65 or older,30.9
2016,IL,Race/Ethnicity,Asian,11.5
2016,IL,Education,College graduate,26.2
2016,IL,Income,Data not reported,27.8
2016,IL,Sex,Female,31.0
2016,IL,Education,High school graduate,33.2
2016,IL,Race/Ethnicity,Hispanic,36.6
2016,IL,Income,"Less than $15,000",38.2
2016,IL,Education,Less than high school,39.4
2016,IL,Sex,Male,32.3
2016,IL,Race/Ethnicity,Non-Hispanic Black,39.5
2016,IL,Race/Ethnicity,Non-Hispanic White,30.7
2016,IL,Education,Some college or technical school,32.4
2016,IL,Total,Total,31.6
2016,IN,Income,"$15,000 - $24,999",35.3
2016,IN,Income,"$25,000 - $34,999",35.2
2016,IN,Income,"$35,000 - $49,999",33.3
2016,IN,Income,"$50,000 - $74,999",34.6
2016,IN,Income,"$75,000 or greater",28.7
2016,IN,Age (years),18 - 24,17.6
2016,IN,Race/Ethnicity,2 or more races,48.3
2016,IN,Age (years),25 - 34,32.4
2016,IN,Age (years),35 - 44,35.0
2016,IN,Age (years),45 - 54,39.4
2016,IN,Age (years),55 - 64,37.5
2016,IN,Age (years),65 or older,30.6
2016,IN,Race/Ethnicity,American Indian/Alaska Native,30.6
2016,IN,Race/Ethnicity,Asian,8.5
2016,IN,Education,College graduate,27.2
2016,IN,Income,Data not reported,27.2
2016,IN,Sex,Female,32.6
2016,IN,Education,High school graduate,33.8
2016,IN,Race/Ethnicity,Hispanic,26.8
2016,IN,Income,"Less than $15,000",36.5
2016,IN,Education,Less than high school,34.0
2016,IN,Sex,Male,32.3
2016,IN,Race/Ethnicity,Non-Hispanic Black,42.1
2016,IN,Race/Ethnicity,Non-Hispanic White,32.1
2016,IN,Education,Some college or technical school,34.1
2016,IN,Total,Total,32.5
2016,IA,Income,"$15,000 - $24,999",34.1
2016,IA,Income,"$25,000 - $34,999",31.9
2016,IA,Income,"$35,000 - $49,999",32.7
2016,IA,Income,"$50,000 - $74,999",36.0
2016,IA,Income,"$75,000 or greater",28.6
2016,IA,Age (years),18 - 24,18.4
2016,IA,Age (years),25 - 34,28.2
2016,IA,Age (years),35 - 44,38.7
2016,IA,Age (years),45 - 54,36.3
2016,IA,Age (years),55 - 64,37.9
2016,IA,Age (years),65 or older,30.9
2016,IA,Race/Ethnicity,Asian,14.4
2016,IA,Education,College graduate,26.7
2016,IA,Income,Data not reported,28.3
2016,IA,Sex,Female,30.0
2016,IA,Education,High school graduate,32.8
2016,IA,Race/Ethnicity,Hispanic,27.8
2016,IA,Income,"Less than $15,000",38.3
2016,IA,Education,Less than high school,38.6
2016,IA,Sex,Male,33.8
2016,IA,Race/Ethnicity,Non-Hispanic Black,35.2
2016,IA,Race/Ethnicity,Non-Hispanic White,31.9
2016,IA,Education,Some college or technical school,33.2
2016,IA,Total,Total,32.0
2016,KS,Income,"$15,000 - $24,999",34.7
2016,KS,Income,"$25,000 - $34,999",33.2
2016,KS,Income,"$35,000 - $49,999",34.8
2016,KS,Income,"$50,000 - $74,999",32.8
2016,KS,Income,"$75,000 or greater",27.3
2016,KS,Age (years),18 - 24,19.8
2016,KS,Race/Ethnicity,2 or more races,30.3
2016,KS,Age (years),25 - 34,28.7
2016,KS,Age (years),35 - 44,36.0
2016,KS,Age (years),45 - 54,35.9
2016,KS,Age (years),55 - 64,36.8
2016,KS,Age (years),65 or older,28.9
2016,KS,Race/Ethnicity,American Indian/Alaska Native,31.4
2016,KS,Race/Ethnicity,Asian,15.2
2016,KS,Education,College graduate,27.3
2016,KS,Income,Data not reported,26.4
2016,KS,Sex,Female,30.9
2016,KS,Education,High school graduate,32.3
2016,KS,Race/Ethnicity,Hispanic,32.9
2016,KS,Income,"Less than $15,000",37.0
2016,KS,Education,Less than high school,30.4
2016,KS,Sex,Male,31.4
2016,KS,Race/Ethnicity,Non-Hispanic Black,41.7
2016,KS,Race/Ethnicity,Non-Hispanic White,30.5
2016,KS,Education,Some college or technical school,33.6
2016,KS,Total,Total,31.2
2016,KY,Income,"$15,000 - $24,999",38.5
2016,KY,Income,"$25,000 - $34,999",39.8
2016,KY,Income,"$35,000 - $49,999",38.3
2016,KY,Income,"$50,000 - $74,999",34.0
2016,KY,Income,"$75,000 or greater",30.2
2016,KY,Age (years),18 - 24,20.3
2016,KY,Race/Ethnicity,2 or more races,31.9
2016,KY,Age (years),25 - 34,33.7
2016,KY,Age (years),35 - 44,40.7
2016,KY,Age (years),45 - 54,39.0
2016,KY,Age (years),55 - 64,37.9
2016,KY,Age (years),65 or older,31.0
2016,KY,Race/Ethnicity,American Indian/Alaska Native,25.6
2016,KY,Education,College graduate,29.4
2016,KY,Income,Data not reported,29.2
2016,KY,Sex,Female,35.2
2016,KY,Education,High school graduate,35.4
2016,KY,Race/Ethnicity,Hispanic,30.2
2016,KY,Income,"Less than $15,000",36.3
2016,KY,Education,Less than high school,37.4
2016,KY,Sex,Male,33.1
2016,KY,Race/Ethnicity,Non-Hispanic Black,40.1
2016,KY,Race/Ethnicity,Non-Hispanic White,34.2
2016,KY,Education,Some college or technical school,34.3
2016,KY,Total,Total,34.2
2016,LA,Income,"$15,000 - $24,999",42.7
2016,LA,Income,"$25,000 - $34,999",36.6
2016,LA,Income,"$35,000 - $49,999",38.4
2016,LA,Income,"$50,000 - $74,999",34.1
2016,LA,Income,"$75,000 or greater",33.5
2016,LA,Age (years),18 - 24,25.9
2016,LA,Race/Ethnicity,2 or more races,30.2
2016,LA,Age (years),25 - 34,28.8
2016,LA,Age (years),35 - 44,45.2
2016,LA,Age (years),45 - 54,40.5
2016,LA,Age (years),55 - 64,36.6
2016,LA,Age (years),65 or older,35.3
2016,LA,Race/Ethnicity,American Indian/Alaska Native,48.3
2016,LA,Education,College graduate,29.3
2016,LA,Income,Data not reported,26.9
2016,LA,Sex,Female,36.5
2016,LA,Education,High school graduate,38.2
2016,LA,Race/Ethnicity,Hispanic,32.9
2016,LA,Income,"Less than $15,000",35.6
2016,LA,Education,Less than high school,36.3
2016,LA,Sex,Male,34.5
2016,LA,Race/Ethnicity,Non-Hispanic Black,42.0
2016,LA,Race/Ethnicity,Non-Hispanic White,32.3
2016,LA,Education,Some college or technical school,36.0
2016,LA,Total,Total,35.5
2016,ME,Income,"$15,000 - $24,999",31.1
2016,ME,Income,"$25,000 - $34,999",34.2
2016,ME,Income,"$35,000 - $49,999",33.1
2016,ME,Income,"$50,000 - $74,999",30.9
2016,ME,Income,"$75,000 or greater",25.1
2016,ME,Age (years),18 - 24,20.7
2016,ME,Race/Ethnicity,2 or more races,26.1
2016,ME,Age (years),25 - 34,25.8
2016,ME,Age (years),35 - 44,30.0
2016,ME,Age (years),45 - 54,37.3
2016,ME,Age (years),55 - 64,33.0
2016,ME,Age (years),65 or older,28.7
2016,ME,Race/Ethnicity,American Indian/Alaska Native,48.0
2016,ME,Education,College graduate,21.9
2016,ME,Income,Data not reported,22.3
2016,ME,Sex,Female,29.5
2016,ME,Education,High school graduate,33.3
2016,ME,Race/Ethnicity,Hispanic,34.2
2016,ME,Income,"Less than $15,000",38.1
2016,ME,Education,Less than high school,35.7
2016,ME,Sex,Male,30.3
2016,ME,Race/Ethnicity,Non-Hispanic White,29.9
2016,ME,Education,Some college or technical school,31.8
2016,ME,Total,Total,29.9
2016,MD,Income,"$15,000 - $24,999",36.6
2016,MD,Income,"$25,000 - $34,999",29.3
2016,MD,Income,"$35,000 - $49,999",35.8
2016,MD,Income,"$50,000 - $74,999",29.1
2016,MD,Income,"$75,000 or greater",27.6
2016,MD,Age (years),18 - 24,16.3
2016,MD,Race/Ethnicity,2 or more races,28.3
2016,MD,Age (years),25 - 34,28.3
2016,MD,Age (years),35 - 44,31.7
2016,MD,Age (years),45 - 54,34.6
2016,MD,Age (years),55 - 64,35.5
2016,MD,Age (years),65 or older,29.2
2016,MD,Race/Ethnicity,American Indian/Alaska Native,39.2
2016,MD,Race/Ethnicity,Asian,8.4
2016,MD,Education,College graduate,23.2
2016,MD,Income,Data not reported,27.7
2016,MD,Sex,Female,31.5
2016,MD,Education,High school graduate,33.6
2016,MD,Race/Ethnicity,Hispanic,28.9
2016,MD,Income,"Less than $15,000",32.5
2016,MD,Education,Less than high school,35.4
2016,MD,Sex,Male,28.3
2016,MD,Race/Ethnicity,Non-Hispanic Black,37.6
2016,MD,Race/Ethnicity,Non-Hispanic White,28.6
2016,MD,Race/Ethnicity,Other,32.6
2016,MD,Education,Some college or technical school,32.8
2016,MD,Total,Total,29.9
2016,MA,Income,"$15,000 - $24,999",31.9
2016,MA,Income,"$25,000 - $34,999",26.3
2016,MA,Income,"$35,000 - $49,999",27.7
2016,MA,Income,"$50,000 - $74,999",25.7
2016,MA,Income,"$75,000 or greater",20.1
2016,MA,Age (years),18 - 24,14.5
2016,MA,Race/Ethnicity,2 or more races,31.6
2016,MA,Age (years),25 - 34,19.4
2016,MA,Age (years),35 - 44,24.4
2016,MA,Age (years),45 - 54,26.9
2016,MA,Age (years),55 - 64,28.6
2016,MA,Age (years),65 or older,25.1
2016,MA,Race/Ethnicity,Asian,9.4
2016,MA,Education,College graduate,18.0
2016,MA,Income,Data not reported,22.2
2016,MA,Sex,Female,21.1
2016,MA,Education,High school graduate,27.7
2016,MA,Race/Ethnicity,Hispanic,28.9
2016,MA,Income,"Less than $15,000",30.7
2016,MA,Education,Less than high school,32.5
2016,MA,Sex,Male,25.9
2016,MA,Race/Ethnicity,Non-Hispanic Black,36.0
2016,MA,Race/Ethnicity,Non-Hispanic White,22.7
2016,MA,Race/Ethnicity,Other,15.9
2016,MA,Education,Some college or technical school,23.7
2016,MA,Total,Total,23.6
2016,MI,Income,"$15,000 - $24,999",34.5
2016,MI,Income,"$25,000 - $34,999",34.1
2016,MI,Income,"$35,000 - $49,999",37.0
2016,MI,Income,"$50,000 - $74,999",32.9
2016,MI,Income,"$75,000 or greater",27.7
2016,MI,Age (years),18 - 24,21.7
2016,MI,Race/Ethnicity,2 or more races,34.9
2016,MI,Age (years),25 - 34,28.9
2016,MI,Age (years),35 - 44,38.0
2016,MI,Age (years),45 - 54,36.6
2016,MI,Age (years),55 - 64,34.9
2016,MI,Age (years),65 or older,32.2
2016,MI,Race/Ethnicity,American Indian/Alaska Native,42.1
2016,MI,Race/Ethnicity,Asian,7.7
2016,MI,Education,College graduate,26.2
2016,MI,Income,Data not reported,29.6
2016,MI,Sex,Female,32.6
2016,MI,Education,High school graduate,36.3
2016,MI,Race/Ethnicity,Hispanic,37.3
2016,MI,Income,"Less than $15,000",38.7
2016,MI,Education,Less than high school,33.8
2016,MI,Sex,Male,32.4
2016,MI,Race/Ethnicity,Non-Hispanic Black,38.4
2016,MI,Race/Ethnicity,Non-Hispanic White,32.0
2016,MI,Education,Some college or technical school,33.2
2016,MI,Total,Total,32.5
2016,MN,Income,"$15,000 - $24,999",35.2
2016,MN,Income,"$25,000 - $34,999",30.6
2016,MN,Income,"$35,000 - $49,999",29.2
2016,MN,Income,"$50,000 - $74,999",29.2
2016,MN,Income,"$75,000 or greater",24.3
2016,MN,Age (years),18 - 24,16.1
2016,MN,Race/Ethnicity,2 or more races,37.8
2016,MN,Age (years),25 - 34,24.6
2016,MN,Age (years),35 - 44,28.4
2016,MN,Age (years),45 - 54,32.6
2016,MN,Age (years),55 - 64,32.7
2016,MN,Age (years),65 or older,28.6
2016,MN,Race/Ethnicity,American Indian/Alaska Native,36.6
2016,MN,Race/Ethnicity,Asian,11.5
2016,MN,Education,College graduate,22.3
2016,MN,Income,Data not reported,22.7
2016,MN,Sex,Female,25.9
2016,MN,Education,High school graduate,30.4
2016,MN,Race/Ethnicity,Hispanic,35.0
2016,MN,Income,"Less than $15,000",34.0
2016,MN,Education,Less than high school,33.0
2016,MN,Sex,Male,29.5
2016,MN,Race/Ethnicity,Non-Hispanic Black,33.2
2016,MN,Race/Ethnicity,Non-Hispanic White,27.6
2016,MN,Education,Some college or technical school,29.5
2016,MN,Total,Total,27.8
2016,MS,Income,"$15,000 - $24,999",41.9
2016,MS,Income,"$25,000 - $34,999",36.5
2016,MS,Income,"$35,000 - $49,999",35.8
2016,MS,Income,"$50,000 - $74,999",39.9
2016,MS,Income,"$75,000 or greater",32.4
2016,MS,Age (years),18 - 24,19.9
2016,MS,Age (years),25 - 34,38.4
2016,MS,Age (years),35 - 44,47.5
2016,MS,Age (years),45 - 54,45.5
2016,MS,Age (years),55 - 64,39.8
2016,MS,Age (years),65 or older,31.0
2016,MS,Education,College graduate,32.0
2016,MS,Income,Data not reported,33.3
2016,MS,Sex,Female,39.3
2016,MS,Education,High school graduate,38.3
2016,MS,Race/Ethnicity,Hispanic,25.4
2016,MS,Income,"Less than $15,000",41.2
2016,MS,Education,Less than high school,34.1
2016,MS,Sex,Male,35.2
2016,MS,Race/Ethnicity,Non-Hispanic Black,46.8
2016,MS,Race/Ethnicity,Non-Hispanic White,32.4
2016,MS,Education,Some college or technical school,40.8
2016,MS,Total,Total,37.3
2016,MO,Income,"$15,000 - $24,999",36.7
2016,MO,Income,"$25,000 - $34,999",30.4
2016,MO,Income,"$35,000 - $49,999",33.0
2016,MO,Income,"$50,000 - $74,999",33.4
2016,MO,Income,"$75,000 or greater",28.1
2016,MO,Age (years),18 - 24,17.7
2016,MO,Race/Ethnicity,2 or more races,32.8
2016,MO,Age (years),25 - 34,27.2
2016,MO,Age (years),35 - 44,35.4
2016,MO,Age (years),45 - 54,36.3
2016,MO,Age (years),55 - 64,40.5
2016,MO,Age (years),65 or older,30.1
2016,MO,Race/Ethnicity,American Indian/Alaska Native,38.2
2016,MO,Race/Ethnicity,Asian,3.4
2016,MO,Education,College graduate,26.6
2016,MO,Income,Data not reported,27.3
2016,MO,Sex,Female,31.4
2016,MO,Education,High school graduate,31.2
2016,MO,Race/Ethnicity,Hispanic,34.6
2016,MO,Income,"Less than $15,000",38.4
2016,MO,Education,Less than high school,37.9
2016,MO,Sex,Male,32.0
2016,MO,Race/Ethnicity,Non-Hispanic Black,39.6
2016,MO,Race/Ethnicity,Non-Hispanic White,30.8
2016,MO,Education,Some college or technical school,33.9
2016,MO,Total,Total,31.7
2016,MT,Income,"$15,000 - $24,999",27.2
2016,MT,Income,"$25,000 - $34,999",29.8
2016,MT,Income,"$35,000 - $49,999",24.2
2016,MT,Income,"$50,000 - $74,999",24.5
2016,MT,Income,"$75,000 or greater",23.9
2016,MT,Age (years),18 - 24,15.4
2016,MT,Race/Ethnicity,2 or more races,27.8
2016,MT,Age (years),25 - 34,23.6
2016,MT,Age (years),35 - 44,26.9
2016,MT,Age (years),45 - 54,31.8
2016,MT,Age (years),55 - 64,29.1
2016,MT,Age (years),65 or older,24.3
2016,MT,Race/Ethnicity,American Indian/Alaska Native,31.6
2016,MT,Education,College graduate,21.7
2016,MT,Income,Data not reported,21.7
2016,MT,Sex,Female,26.0
2016,MT,Education,High school graduate,27.4
2016,MT,Race/Ethnicity,Hispanic,28.0
2016,MT,Income,"Less than $15,000",31.2
2016,MT,Education,Less than high school,26.2
2016,MT,Sex,Male,25.0
2016,MT,Race/Ethnicity,Non-Hispanic White,25.2
2016,MT,Race/Ethnicity,Other,32.5
2016,MT,Education,Some college or technical school,26.6
2016,MT,Total,Total,25.5
2016,NE,Income,"$15,000 - $24,999",33.7
2016,NE,Income,"$25,000 - $34,999",34.0
2016,NE,Income,"$35,000 - $49,999",35.8
2016,NE,Income,"$50,000 - $74,999",32.2
2016,NE,Income,"$75,000 or greater",29.6
2016,NE,Age (years),18 - 24,17.2
2016,NE,Race/Ethnicity,2 or more races,32.9
2016,NE,Age (years),25 - 34,31.3
2016,NE,Age (years),35 - 44,34.6
2016,NE,Age (years),45 - 54,39.7
2016,NE,Age (years),55 - 64,37.6
2016,NE,Age (years),65 or older,29.9
2016,NE,Race/Ethnicity,American Indian/Alaska Native,38.2
2016,NE,Race/Ethnicity,Asian,14.6
2016,NE,Education,College graduate,29.5
2016,NE,Income,Data not reported,25.9
2016,NE,Sex,Female,31.4
2016,NE,Education,High school graduate,33.4
2016,NE,Race/Ethnicity,Hispanic,33.1
2016,NE,Income,"Less than $15,000",35.9
2016,NE,Education,Less than high school,34.6
2016,NE,Sex,Male,32.6
2016,NE,Race/Ethnicity,Non-Hispanic Black,37.6
2016,NE,Race/Ethnicity,Non-Hispanic White,31.7
2016,NE,Education,Some college or technical school,32.1
2016,NE,Total,Total,32.0
2016,NV,Income,"$15,000 - $24,999",29.3
2016,NV,Income,"$25,000 - $34,999",29.1
2016,NV,Income,"$35,000 - $49,999",26.2
2016,NV,Income,"$50,000 - $74,999",24.4
2016,NV,Income,"$75,000 or greater",21.7
2016,NV,Age (years),18 - 24,16.9
2016,NV,Race/Ethnicity,2 or more races,32.9
2016,NV,Age (years),25 - 34,24.8
2016,NV,Age (years),35 - 44,24.8
2016,NV,Age (years),45 - 54,30.7
2016,NV,Age (years),55 - 64,29.3
2016,NV,Age (years),65 or older,25.7
2016,NV,Race/Ethnicity,American Indian/Alaska Native,36.4
2016,NV,Race/Ethnicity,Asian,14.1
2016,NV,Education,College graduate,19.2
2016,NV,Income,Data not reported,26.6
2016,NV,Sex,Female,25.8
2016,NV,Education,High school graduate,30.6
2016,NV,Race/Ethnicity,Hispanic,26.2
